Logged at 29/01/2026 11:28:05 AM - hello successfully login
Logged at 29/01/2026 11:29:01 AM - API: POST /api/auth/forgot-password | Status=500 | ANONYMOUS
Logged at 29/01/2026 11:34:54 AM - API: POST /api/auth/forgot-password | Status=500 | ANONYMOUS
Logged at 29/01/2026 12:46:15 PM - API: POST /api/auth/login | Status=200 | ANONYMOUS
Logged at 29/01/2026 12:46:15 PM - API: GET /api/farmers/profile | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 12:46:15 PM - API: GET /api/farmers/profile | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 12:46:15 PM - API: GET /api/rentals/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 12:46:15 PM - API: GET /api/rentals/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 12:46:32 PM - API: POST /api/auth/forgot-password | Status=200 | ANONYMOUS
Logged at 29/01/2026 12:53:12 PM - API: POST /api/auth/forgot-password | Status=200 | ANONYMOUS
Logged at 29/01/2026 1:06:54 PM - API: POST /api/auth/forgot-password | Status=200 | ANONYMOUS
Logged at 29/01/2026 1:08:33 PM - API: POST /api/auth/forgot-password | Status=200 | ANONYMOUS
Logged at 29/01/2026 1:26:51 PM - API: POST /api/auth/forgot-password | Status=200 | ANONYMOUS
Logged at 29/01/2026 1:28:01 PM - API: POST /api/auth/forgot-password | Status=200 | ANONYMOUS
Logged at 29/01/2026 1:35:16 PM - API: POST /api/auth/forgot-password | Status=200 | ANONYMOUS
Logged at 29/01/2026 1:36:29 PM - API: POST /api/auth/forgot-password | Status=200 | ANONYMOUS
Logged at 29/01/2026 1:37:10 PM - API: POST /api/auth/forgot-password | Status=200 | ANONYMOUS
Logged at 29/01/2026 1:42:38 PM - API: POST /api/auth/forgot-password | Status=200 | ANONYMOUS
Logged at 29/01/2026 1:43:07 PM - API: POST /api/auth/forgot-password | Status=200 | ANONYMOUS
Logged at 29/01/2026 1:44:37 PM - API: POST /api/auth/forgot-password | Status=200 | ANONYMOUS
Logged at 29/01/2026 1:45:49 PM - API: POST /api/auth/forgot-password | Status=200 | ANONYMOUS
Logged at 29/01/2026 1:57:58 PM - API: POST /api/auth/forgot-password | Status=200 | ANONYMOUS
Logged at 29/01/2026 1:59:55 PM - API: POST /api/auth/register | Status=201 | ANONYMOUS
Logged at 29/01/2026 1:59:55 PM - API: POST /api/auth/register | Status=500 | ANONYMOUS
Logged at 29/01/2026 2:04:51 PM - API: POST /api/auth/forgot-password | Status=200 | ANONYMOUS
Logged at 29/01/2026 2:20:50 PM - API: POST /api/auth/login | Status=500 | ANONYMOUS
Logged at 29/01/2026 2:21:20 PM - API: POST /api/auth/forgot-password | Status=200 | ANONYMOUS
Logged at 29/01/2026 2:22:03 PM - API: POST /api/auth/reset-password | Status=200 | ANONYMOUS
Logged at 29/01/2026 2:22:11 PM - API: POST /api/auth/login | Status=200 | ANONYMOUS
Logged at 29/01/2026 2:22:11 PM - API: GET /api/farmers/profile | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:22:11 PM - API: GET /api/farmers/profile | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:22:11 PM - API: GET /api/rentals/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:22:11 PM - API: GET /api/rentals/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:22:13 PM - API: GET /api/farmers/equipments/available | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:22:13 PM - API: GET /api/farmers/equipments/available | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:22:15 PM - API: GET /api/rentals/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:22:15 PM - API: GET /api/rentals/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:22:16 PM - API: GET /api/payments/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:22:16 PM - API: GET /api/payments/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:22:17 PM - API: GET /api/farmers/profile | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:22:17 PM - API: GET /api/farmers/profile | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:22:18 PM - API: GET /api/payments/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:22:18 PM - API: GET /api/payments/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:22:19 PM - API: GET /api/farmers/equipments/available | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:22:19 PM - API: GET /api/farmers/equipments/available | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:22:22 PM - API: GET /api/farmers/profile | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:22:22 PM - API: GET /api/farmers/profile | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:22:22 PM - API: GET /api/rentals/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:22:22 PM - API: GET /api/rentals/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:22:34 PM - API: GET /api/farmers/equipments/available | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:22:34 PM - API: GET /api/farmers/equipments/available | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:22:35 PM - API: GET /api/rentals/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:22:35 PM - API: GET /api/rentals/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:22:43 PM - API: POST /api/auth/login | Status=500 | ANONYMOUS
Logged at 29/01/2026 2:22:47 PM - API: POST /api/auth/login | Status=500 | ANONYMOUS
Logged at 29/01/2026 2:22:54 PM - API: POST /api/auth/login | Status=500 | ANONYMOUS
Logged at 29/01/2026 2:22:58 PM - API: POST /api/auth/login | Status=200 | ANONYMOUS
Logged at 29/01/2026 2:22:58 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:22:58 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:23:08 PM - API: GET /api/owners/equipments | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:23:08 PM - API: GET /api/owners/equipments | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:23:14 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:23:14 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:23:18 PM - API: GET /api/payments/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:23:18 PM - API: GET /api/payments/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:23:19 PM - API: GET /api/owners/profile | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:23:19 PM - API: GET /api/owners/profile | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:23:21 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:23:21 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:23:22 PM - API: GET /api/owners/equipments | Status=200 | UserId=3, Role=ROLE_OWNER
